id,cuisine,review_count,rating
FML0YqZ7dLBBC3Suap4_4Q,italian,319,4.0
_crbEZ55ve6OFkoWa09R9A,italian,111,4.0
G2vakPrz7BBFY6XY3N0o9g,italian,33,4.0
UxWH8zRYIBgs6Q2oykvRdw,italian,558,3.5
jVefoZbu5VF80CCB1Q2MaA,italian,190,3.5
W2NzlS8OJzGfDfr9oRz11Q,italian,239,3.5
OGVyVfc39fnp8neHRoSYhQ,italian,31,4.0
Iu-I5LHQ4cDuPnG64gC_vA,italian,49,4.0
amsvLzfEvCzLwP0MnXAJ1w,italian,94,3.5
e_ILiIs2pVpskfeL-zFtTw,italian,247,3.5
vVnccEZW4p9HlbUEucpUYg,italian,31,4.0
HtpNW2ksFbflBHBs7t3AFw,italian,32,3.5
CuzuvMUI6qdM6LddwG9rbw,italian,16,4.0
rPu_VpOCXTfNOmrk5XqeOg,italian,77,3.0
sdCTNVvCvB2O3Qy_xtB9rA,italian,5,5.0
l3V86Z6oAzpnwe1VYM4VPg,italian,79,3.0
tM_A6uLiKvUCKSdSZxYLYw,italian,71,3.0
40dlp6Rvjbap4jkClhJR2Q,italian,14,4.0
tC2VzaEWJWopu9lz3jJerg,italian,23,3.5
l7RCvKqA61Jzm98gaqIhvw,italian,36,3.5
7ZJ_qv18n7nzbry5bsq2Pg,italian,109,3.0
zZfq52t0TUnwEk2V3-oPwQ,italian,8,4.0
y8Yake6yYKAzoi23l8Vezg,italian,11,4.0
Vd6FVCKq0bHqVneb0DjTnw,italian,20,3.5
v2IxKgoE2lN77hx3x_MUtQ,italian,12,3.5
tlGch0ojsV8VoktvwbKMzg,italian,11,3.5
QzMcsnAKEIIsqOJl5DMfCw,italian,10,3.5
kBQkdV4l1u7m9XPozHFWQw,italian,3,4.5
zsgvTFimYf4stONAJOyePw,italian,10,3.5
NnJAsBJ7wGVNsQJnUsfEiQ,italian,12,3.5
ZGJid8DZpyPQYdLjdvfekg,italian,3,4.5
LoFr0q2o91OEwpht9n-HNw,italian,3,4.5
kzOBa1uvGdYunmw6ssF9Dg,italian,29,2.5
JSnEUK2skTyYVaAQBqIJPw,italian,5,3.5
32PtgRTM8svvX6lNPb-iIA,italian,6,3.5
hUh6seqyfwBk_xX6NZiYkQ,italian,6,3.0
kKQab9I9t70IzquLBJRqHA,italian,3,3.5
3psSpUMwT4zdNca2pOPxRw,italian,21,2.0
yg1AEELytdwqj7VfzFyY_g,italian,11,2.5
